CerealName,Calories,Protein,Fiber,Fat,Carb
100%_Bran,70,4.3,10,1.1,5
100%_Natural_Bran,120,3.9,2,5.7,8
All-Bran,70,4.4,9,1.4,7
All-Bran_with_Extra_Fiber,50,4.9,14,0.9,8
Almond_Delight,110,2.5,1,2.2,14
Apple_Cinnamon_Cheerios,110,2.9,1.5,2.5,10.5
Apple_Jacks,110,2.8,1,0.2,11
Basic_4,130,3.1,2,2.9,18
Bran_Chex,90,2.1,4,1.5,15
Bran_Flakes,90,3.4,5,0.7,13
Cap'n'Crunch,120,2,0,2.1,12
Cheerios,110,6.5,2,2,17
Cinnamon_Toast_Crunch,120,1,0,3.1,13
Clusters,110,3.5,2,2.5,13
Cocoa_Puffs,110,1.6,0,1,12
Corn_Chex,110,2.1,0,0.7,22
Corn_Flakes,100,2.1,1,0.2,21
Corn_Pops,110,1.7,1,0.1,13
Count_Chocula,110,1.9,0,2,12
Cracklin'_Oat_Bran,110,3.1,4,3.7,10
Cream_of_Wheat_(Quick),100,3.4,1,0.9,21
Crispix,110,2.3,1,0.2,21
Crispy_Wheat_&_Raisins,100,2.2,2,1.8,11
Double_Chex,100,2.8,1,0.6,18
Froot_Loops,110,2.9,1,1.2,11
Frosted_Flakes,110,1.4,1,0.6,14
Frosted_Mini-Wheats,100,3.5,3,0.3,14
Fruitful_Bran,120,3.6,5,0.1,14
Fruity_Pebbles,110,1.9,0,1.3,13
Golden_Crisp,100,2.4,0,0.8,11
Golden_Grahams,110,1.4,0,1.8,15
Grape_Nuts_Flakes,100,3.3,3,1.1,15
Grape-Nuts,110,3,3,0.6,17
Great_Grains_Pecan,120,3.8,3,3.2,13
Honey_Graham_Ohs,120,1.6,1,2.1,12
Honey_Nut_Cheerios,110,3.5,1.5,1.6,11.5
Honey-comb,110,1.4,0,0,14
Just_Right_Crunchy__Nuggets,110,2.9,1,1.4,17
Just_Right_Fruit_&_Nut,140,3.8,2,1.2,20
Kix,110,2.4,0,1.1,21
Life,100,4.2,2,2.2,12
Lucky_Charms,110,2.7,0,1.7,12
Maypo,100,5,0,1.3,16
Mueslix_Crispy_Blend,160,3.5,3,2.2,17
Multi-Grain_Cheerios,100,2.5,2,1.5,15
Nut&Honey_Crunch,120,2.3,0,1.6,15
Nutri-Grain_Almond-Raisin,140,3.7,3,2.6,21
Nutri-grain_Wheat,90,3.8,3,1,18
Oatmeal_Raisin_Crisp,130,3,1.5,2.8,13.5
Post_Nat._Raisin_Bran,120,3,6,1.8,11
Product_19,100,3.8,1,0.6,20
Puffed_Rice,50,1.5,0,0.5,13
Puffed_Wheat,50,2,1,0.2,10
Quaker_Oat_Squares,100,4.8,2,1.3,14
Quaker_Oatmeal,100,6,2.7,2.1,1
Raisin_Bran,120,3.4,5,1.5,14
Raisin_Nut_Bran,100,3.7,2.5,2.7,10.5
Raisin_Squares,90,2.6,2,0.6,15
Rice_Chex,110,1.2,0,0.1,23
Rice_Krispies,110,2.6,0,0.2,22
Shredded_Wheat,80,2.9,3,0.9,16
Shredded_Wheat_'n'Bran,90,3.2,4,0.6,19
Shredded_Wheat_spoon_size,90,3.3,3,0.7,20
Smacks,110,2.8,1,1.4,9
Special_K,110,6.4,1,0.6,16
Strawberry_Fruit_Wheats,90,2.4,3,0.6,15
Total_Corn_Flakes,110,2.1,0,1.2,21
Total_Raisin_Bran,140,3.7,4,1.6,15
Total_Whole_Grain,100,3.9,3,1.5,16
Triples,110,3,0,1.9,21
Trix,110,1.3,0,1.7,13
Wheat_Chex,100,3.9,3,1.3,17
Wheaties,100,3.7,3,1.8,17
Wheaties_Honey_Gold,110,2.3,1,1.2,16
